episode,step,reward,cum_reward,intercepted,unc
0,1,-0.1,-0.1,False,0.2638492057051637
0,2,-0.1,-0.2,False,0.28882184603108096
1,1,-0.1,-0.1,False,0.2508608333139879
1,2,-0.1,-0.2,False,0.0
2,1,-0.1,-0.1,False,0.2931608321993485
2,2,-0.1,-0.2,False,0.2654463079527023
3,1,-0.1,-0.1,False,0.29210119110595056
3,2,-0.1,-0.2,False,0.25538664825391
4,1,-0.1,-0.1,False,0.295125579780815
4,2,-0.1,-0.2,False,0.2696426579055843
5,1,-0.1,-0.1,False,0.2886625842295838
5,2,-0.1,-0.2,False,0.27372374315644743
6,1,-0.1,-0.1,False,0.2565467307123772
6,2,-0.1,-0.2,False,0.26411290119886
7,1,-0.1,-0.1,False,0.2591608832840926
7,2,-0.1,-0.2,False,0.2508811318934905
8,1,-0.1,-0.1,False,0.2579172953203218
8,2,-0.1,-0.2,False,0.27153380456668663
9,1,-0.1,-0.1,False,0.27184531802895573
9,2,-0.1,-0.2,False,0.25675705330354925
10,1,-0.1,-0.1,False,0.27482022435315523
10,2,-0.1,-0.2,False,0.2837935594245842
11,1,-0.1,-0.1,False,0.2584397538555754
11,2,-0.1,-0.2,False,0.27759317075709933
12,1,-0.1,-0.1,False,0.2617782242732778
12,2,-0.1,-0.2,False,0.27283825789275606
12,3,-0.1,-0.30000000000000004,False,0.2686251541842132
13,1,-0.1,-0.1,False,0.29252805653690817
13,2,-0.1,-0.2,False,0.2844694123025836
13,3,-0.1,-0.30000000000000004,False,0.27270629333275287
14,1,-0.1,-0.1,False,0.274103350559849
14,2,-0.1,-0.2,False,0.2572702088149532
15,1,-0.1,-0.1,False,0.26179975124492594
15,2,-0.1,-0.2,False,0.29658150745678813
16,1,-0.1,-0.1,False,0.2768548666831442
16,2,-0.1,-0.2,False,0.2705683978075897
17,1,-0.1,-0.1,False,0.257983678409351
17,2,-0.1,-0.2,False,0.28041038154783626
18,1,-0.1,-0.1,False,0.27693740831338576
18,2,-3.0,-3.1,False,0.2773760013981351
19,1,-0.1,-0.1,False,0.2617997402419052
19,2,-0.1,-0.2,False,0.4715013800757163
19,3,-0.1,-0.30000000000000004,False,0.2750103695476842
20,1,-0.1,-0.1,False,0.2823976984532012
20,2,-0.1,-0.2,False,0.5128413895716111
21,1,-0.1,-0.1,False,0.28873785561064813
21,2,-0.1,-0.2,False,0.29091750946492545
21,3,-0.1,-0.30000000000000004,False,0.2521616388251684
22,1,-0.1,-0.1,False,0.2805133278378519
22,2,-0.1,-0.2,False,0.2631216676145648
23,1,-0.1,-0.1,False,0.28497444844146225
23,2,5.0,4.9,False,0.46148519490169804
24,1,-0.1,-0.1,False,0.2619675265723306
24,2,-0.1,-0.2,False,0.27710664377761796
25,1,-0.1,-0.1,False,0.27121317121025745
25,2,-0.1,-0.2,False,0.25809636646900724
26,1,-0.1,-0.1,False,0.2665190834266824
26,2,-0.1,-0.2,False,0.2535778640291737
27,1,-0.1,-0.1,False,0.27210600418231956
27,2,-0.1,-0.2,False,0.2714643923985445
28,1,-0.1,-0.1,False,0.2516927160367951
28,2,-0.1,-0.2,False,0.28232891922065795
29,1,-0.1,-0.1,False,0.26687282588607997
29,2,-0.1,-0.2,False,0.3175465914331236
29,3,-0.1,-0.30000000000000004,False,0.25717023233284586
30,1,-0.1,-0.1,False,0.28802554635630506
30,2,-0.1,-0.2,False,0.258719569092954
31,1,-0.1,-0.1,False,0.2672281850626683
31,2,-0.1,-0.2,False,0.29282832561105154
31,3,-0.1,-0.30000000000000004,False,0.2763285657440344
32,1,-0.1,-0.1,False,0.2755724513586666
32,2,-0.1,-0.2,False,0.2604207632377844
33,1,-0.1,-0.1,False,0.25308658825061325
33,2,-0.1,-0.2,False,0.2616543982656685
33,3,-0.1,-0.30000000000000004,False,0.49933508062140874
34,1,-0.1,-0.1,False,0.27363424136465786
34,2,-0.1,-0.2,False,0.2677008924060531
35,1,-0.1,-0.1,False,0.2693084769963182
35,2,-0.1,-0.2,False,0.26333478566143065
36,1,-0.1,-0.1,False,0.2801974111673331
36,2,-0.1,-0.2,False,0.2750971186844553
36,3,-0.1,-0.30000000000000004,False,0.27838076610740603
37,1,-0.1,-0.1,False,0.2853486432875627
37,2,-0.1,-0.2,False,0.256955159063166
38,1,-0.1,-0.1,False,0.2660674219893202
38,2,-0.1,-0.2,False,0.27455757322849883
39,1,-0.1,-0.1,False,0.2703466289797898
39,2,-0.1,-0.2,False,0.2645528213825976
40,1,-0.1,-0.1,False,0.29070510877584677
40,2,-0.1,-0.2,False,0.2641020486990888
41,1,-0.1,-0.1,False,0.2542756913758526
41,2,-0.1,-0.2,False,0.30926438785969024
41,3,-0.1,-0.30000000000000004,False,0.263995799668564
42,1,-0.1,-0.1,False,0.26434374417909257
42,2,-0.1,-0.2,False,0.2591425108317449
43,1,-0.1,-0.1,False,0.25561540368324276
43,2,-0.1,-0.2,False,0.4650777051205326
44,1,-0.1,-0.1,False,0.278019993913698
44,2,-0.1,-0.2,False,0.2659229943289192
45,1,-0.1,-0.1,False,0.24645740986901676
45,2,-0.1,-0.2,False,0.2553844661443019
46,1,-0.1,-0.1,False,0.26710862823627646
46,2,-0.1,-0.2,False,0.2676626027612399
47,1,-0.1,-0.1,False,0.2950417688972993
47,2,-0.1,-0.2,False,0.5062676150575927
48,1,-0.1,-0.1,False,0.28173643851556895
48,2,-0.1,-0.2,False,0.28586272614444486
49,1,-0.1,-0.1,False,0.26894068755559797
49,2,-0.1,-0.2,False,0.2535644151005576
