step,mean_reward,std_reward,intercept_rate,ci_lower,ci_upper
1,-0.10000000000000002,0.0,0.0,-0.10000000000000002,-0.10000000000000002
2,-0.20000000000000004,0.0,0.0,-0.20000000000000004,-0.20000000000000004
3,-0.30000000000000004,0.0,0.0,-0.30000000000000004,-0.30000000000000004
4,1.3,2.9444863728670914,0.0,-2.032,4.632000000000001
5,1.2,2.944486372867091,0.0,-2.1319999999999997,4.532
6,1.0999999999999999,2.9444863728670914,0.0,-2.232,4.432
7,1.0,2.944486372867092,0.0,-2.3320000000000007,4.332000000000001
8,0.8999999999999999,2.9444863728670914,0.0,-2.4320000000000004,4.232
9,0.8000000000000002,2.9444863728670914,0.0,-2.532,4.132000000000001
10,2.4,5.888972745734182,0.0,-4.263999999999999,9.064
11,2.3,5.888972745734183,0.0,-4.364000000000001,8.964
12,2.1999999999999997,5.888972745734183,0.0,-4.464,8.864
13,2.1,5.888972745734183,0.0,-4.564,8.764000000000001
14,2.0,5.888972745734184,0.0,-4.6640000000000015,8.664000000000001
15,3.5999999999999996,5.1,0.0,-2.171193290819499,9.371193290819498
16,8.6,,0.0,,
