episode,step,reward,cum_reward,intercepted,unc
0,1,-0.1,-0.1,False,0.27363424136465786
0,2,-0.1,-0.2,False,0.2558350104160183
0,3,-0.1,-0.30000000000000004,False,0.2685611070830265
1,1,-0.1,-0.1,False,0.25587671105578313
1,2,-0.1,-0.2,False,0.2665828174936531
1,3,-0.1,-0.30000000000000004,False,0.2828478571011457
2,1,-0.1,-0.1,False,0.2588357859802495
2,2,-0.1,-0.2,False,0.28370895787878503
2,3,-0.1,-0.30000000000000004,False,0.27453192085932576
3,1,-0.1,-0.1,False,0.27362646161742843
3,2,-0.1,-0.2,False,0.2577476661526418
3,3,-0.1,-0.30000000000000004,False,0.288367158940254
4,1,-0.1,-0.1,False,0.26152114697346884
4,2,-0.1,-0.2,False,0.30512822245442095
4,3,-0.1,-0.30000000000000004,False,0.2826199474859583
5,1,-0.1,-0.1,False,0.26687770204426897
5,2,-0.1,-0.2,False,0.0
5,3,-0.1,-0.30000000000000004,False,0.27348047445197043
6,1,-0.1,-0.1,False,0.2950417688972993
6,2,-0.1,-0.2,False,0.2859940479511869
6,3,-0.1,-0.30000000000000004,False,0.45560027635289924
7,1,-3.0,-3.0,False,0.2714639546691231
7,2,-0.1,-3.1,False,0.0
7,3,-0.1,-3.2,False,0.2530981582726881
8,1,-0.1,-0.1,False,0.27010235350001677
8,2,-0.1,-0.2,False,0.25754382898254913
8,3,-0.1,-0.30000000000000004,False,0.24668604418057372
9,1,-0.1,-0.1,False,0.2672281850626683
9,2,-0.1,-0.2,False,0.2665792146399866
9,3,-0.1,-0.30000000000000004,False,0.5008300418287028
10,1,-0.1,-0.1,False,0.2617782242732778
10,2,-0.1,-0.2,False,0.28813245821167444
10,3,-0.1,-0.30000000000000004,False,0.49314045178913135
11,1,-0.1,-0.1,False,0.2638492057051637
11,2,-0.1,-0.2,False,0.26054071317935357
11,3,-0.1,-0.30000000000000004,False,0.2760997057963437
12,1,-0.1,-0.1,False,0.2823976984532012
12,2,-0.1,-0.2,False,0.28685469577660117
12,3,-0.1,-0.30000000000000004,False,0.4750404810623683
13,1,-0.1,-0.1,False,0.26687282588607997
13,2,-0.1,-0.2,False,0.2791536994737356
13,3,-0.1,-0.30000000000000004,False,0.2566983114174417
14,1,-0.1,-0.1,False,0.25308658825061325
14,2,-0.1,-0.2,False,0.2757945998092194
14,3,-0.1,-0.30000000000000004,False,0.2944084903454467
15,1,-0.1,-0.1,False,0.24916112020309655
15,2,-0.1,-0.2,False,0.4752459398698694
15,3,-0.1,-0.30000000000000004,False,0.2803698930874273
16,1,5.0,5.0,False,0.26260823034441017
16,2,-0.1,4.9,False,0.0
16,3,-0.1,4.8,False,0.2676676155294857
17,1,-0.1,-0.1,False,0.29252805653690817
17,2,-0.1,-0.2,False,0.2702104818660407
17,3,-0.1,-0.30000000000000004,False,0.0
18,1,-0.1,-0.1,False,0.27568632720427666
18,2,-0.1,-0.2,False,0.0
18,3,-0.1,-0.30000000000000004,False,0.26479010462173336
19,1,-0.1,-0.1,False,0.2735883095461398
19,2,-0.1,-0.2,False,0.3123873652449518
19,3,-0.1,-0.30000000000000004,False,0.2752927224188889
20,1,-0.1,-0.1,False,0.2681726060756431
20,2,-0.1,-0.2,False,0.3032801923447668
20,3,-0.1,-0.30000000000000004,False,0.2729466946112854
21,1,-0.1,-0.1,False,0.25561540368324276
21,2,-0.1,-0.2,False,0.2568784578799388
22,1,-0.1,-0.1,False,0.2542756913758526
22,2,-0.1,-0.2,False,0.2566065980118952
22,3,-0.1,-0.30000000000000004,False,0.254515450238441
23,1,-0.1,-0.1,False,0.2605959543733233
23,2,-0.1,-0.2,False,0.0
23,3,-0.1,-0.30000000000000004,False,0.28035058580131267
24,1,-0.1,-0.1,False,0.2718292164306808
24,2,-0.1,-0.2,False,0.27171110915216357
24,3,-0.1,-0.30000000000000004,False,0.2586937306051922
25,1,-0.1,-0.1,False,0.2801974111673331
25,2,-0.1,-0.2,False,0.25366392726039555
25,3,-0.1,-0.30000000000000004,False,0.52670502904038
26,1,-0.1,-0.1,False,0.2763033813505026
26,2,-0.1,-0.2,False,0.0
26,3,-0.1,-0.30000000000000004,False,0.2631470920822572
27,1,-0.1,-0.1,False,0.2617997402419052
27,2,-0.1,-0.2,False,0.26669976329948175
27,3,-0.1,-0.30000000000000004,False,0.2821329795716385
28,1,-0.1,-0.1,False,0.28873785561064813
28,2,-0.1,-0.2,False,0.28134090399690337
28,3,-0.1,-0.30000000000000004,False,0.2697751180387289
29,1,-0.1,-0.1,False,0.2591337841468644
29,2,-0.1,-0.2,False,0.26329188545340565
29,3,-0.1,-0.30000000000000004,False,0.2904091109164364
